fold,point_ndcg10,point_mrr10,point_map10,rank_ndcg10,rank_mrr10,rank_map10,point_model_path,rank_model_path
1,0.46817093903572643,0.8379964285714285,0.7772967151675484,0.47311300437409554,0.8396609126984126,0.77813369031872,artifacts/pointwise_fold1.joblib,artifacts/lambdamart_fold1.joblib
2,0.47067385599745026,0.838277380952381,0.7761398994551524,0.47194050934166076,0.8373210317460318,0.773394745606576,artifacts/pointwise_fold2.joblib,artifacts/lambdamart_fold2.joblib
3,0.46892653239042487,0.8263920634920635,0.7695703693468129,0.4693857050409564,0.8241087301587302,0.7666097140337618,artifacts/pointwise_fold3.joblib,artifacts/lambdamart_fold3.joblib
4,0.4767057117533675,0.8323708333333334,0.7783992668965735,0.48250540838702455,0.835240873015873,0.7778824724426807,artifacts/pointwise_fold4.joblib,artifacts/lambdamart_fold4.joblib
5,0.48326253779216227,0.8453319444444444,0.782092290249433,0.48362624049896413,0.8414650793650794,0.7776973196176619,artifacts/pointwise_fold5.joblib,artifacts/lambdamart_fold5.joblib
